,Ones,Zeros,Output
653,73803,109840,0
654,36402,19249,0
655,41663,59770,0
656,63332,333932,0
657,697,90914,0
658,104008,78766,0
659,105301,348657,0
660,31667,176903,0
661,35014,83128,0
662,186852,68448,0
663,17783,160955,0
664,15548,207854,0
665,17937,54503,0
666,99963,107252,0
667,24863,26388,0
668,47669,277911,0
669,72365,114343,0
670,120124,96906,0
671,166478,80974,0
672,69340,54060,0
673,42556,33506,0
674,118061,78659,0
675,52836,80223,0
676,79935,64950,0
677,10787,107971,0
678,32892,40784,0
679,12922,15373,0
680,26571,90618,0
681,18274,59271,0
682,130028,56788,0
683,128281,110829,0
684,16494,62221,0
685,30859,38929,0
686,43713,86893,0
687,34477,60179,0
688,85833,325047,0
689,162719,51977,0
690,106574,127911,0
691,4177,92077,0
692,110495,129974,0
693,90862,46990,0
694,128100,84945,0
695,66755,303705,0
696,89338,365282,0
697,136795,139947,0
698,110924,55335,0
699,31517,60510,0
700,68772,83805,0
701,99520,103025,0
702,11644,79139,0
703,80469,27068,0
704,113186,117968,0
705,125623,81195,0
706,60721,86509,0
707,26882,54576,0
708,31044,82456,0
709,59118,87894,0
710,85940,73826,0
711,93947,82245,0
712,29545,65583,0
713,127020,100664,0
714,34574,61098,0
715,22447,81680,0
716,123844,117182,0
717,94469,86655,0
718,133459,94686,0
719,19895,270916,0
720,130894,96051,0
721,45645,85280,0
722,175963,93098,0
723,251797,93467,0
724,70490,150001,0
725,77006,337821,0
726,44996,89040,0
727,47426,277496,0
728,106333,79579,0
729,37220,110254,0
730,25331,80708,0
731,13103,97312,0
732,28264,66023,0
733,16764,97291,0
734,3661,105410,0
735,32170,79010,0
736,16749,81982,0
737,3228,86890,0
738,20504,102401,0
739,13628,78298,0
740,31720,81400,0
741,24459,81474,0
742,8470,72202,0
743,34442,75196,0
744,26667,89467,0
745,20603,89020,0
746,27062,139757,0
747,5900,85008,0
748,6852,72474,0
749,21222,89784,0
750,25815,74410,0
751,31907,88657,0
752,6183,126558,0
753,10955,79982,0
754,36689,68735,0
755,30147,90928,0
756,26955,91189,0
757,27214,105348,0
758,3014,63110,0
759,31789,76348,0
760,17240,86079,0
761,20364,91563,0
762,30376,77960,0
763,11008,70286,0
764,21001,70589,0
765,3209,54118,0
766,49269,83945,0
767,9537,62658,0
768,5652,71699,0
769,29861,69597,0
770,44382,78252,0
771,13977,108658,0
772,12984,115602,0
773,3942,70406,0
774,31270,97865,0
775,5462,63319,0
776,2291,77893,0
777,17338,81161,0
778,12479,60423,0
779,32241,87038,0
780,18546,86456,0
781,170,64511,0
782,6076,71181,0
783,36840,75405,0
784,15314,66865,0
785,24242,94021,0
786,3298,65264,0
787,29763,81386,0
788,28398,75753,0
789,8374,71048,0
790,12723,68411,0
791,21385,83597,0
792,24911,59657,0
793,25869,81877,0
794,35676,90758,0
795,22797,80318,0
796,19387,87575,0
797,25195,91031,0
798,34863,69305,0
799,13501,80095,0
800,15973,59018,0
801,29202,82060,0
802,10954,69739,0
803,19389,89183,0
804,18124,81230,0
805,15450,58228,0
806,18545,114010,0
807,28586,93976,0
808,6112,67892,0
809,14894,68114,0
810,16551,85162,0
811,25337,86237,0
812,19461,80247,0
813,20625,103562,0
814,3327,64649,0
815,20200,95016,0
816,25925,85773,0
817,2798,117422,0
818,11785,84761,0
819,19727,77957,0
820,29174,83706,0
821,10145,59093,0
822,35408,103558,0
823,9881,108026,0
824,30868,105291,0
825,9768,93475,0
826,36414,93451,0
827,22611,85320,0
828,21978,97295,0
829,41608,84908,0
830,18233,96255,0
831,28577,82759,0
832,21071,90506,0
833,21223,79522,0
834,12455,87411,0
835,4398,66687,0
836,32549,71521,0
837,22104,72283,0
838,25246,64582,0
839,11361,74681,0
840,2264,58821,0
841,28334,78016,0
842,4084,65612,0
843,3733,67032,0
844,32022,106498,0
845,17090,58949,0
846,4371,83711,0
847,17419,94069,0
848,40862,98444,0
849,5738,56977,0
850,38348,77443,0
851,8003,72387,0
852,27124,67453,0
853,9048,108389,0
854,14727,70726,0
855,15450,68710,0
856,9990,90736,0
857,17328,85907,0
858,24455,74685,0
859,22947,82909,0
860,3573,82613,0
861,39342,89119,0
862,41535,96653,0
863,10483,68907,0
864,27019,86163,0
865,21283,99562,0
866,22676,83101,0
867,8962,84279,0
868,18502,86748,0
869,18997,94191,0
870,12841,118441,0
871,11417,87162,0
872,10524,71957,0
873,13105,89282,0
874,22653,87581,0
875,18453,65449,0
876,21455,82430,0
877,14726,78248,0
878,15873,84422,0
879,19395,68789,0
880,21715,108799,0
881,22434,66533,0
882,18960,92427,0
883,19931,85230,0
884,42971,96757,0
885,25154,79502,0
886,21258,77707,0
887,37474,75395,0
888,14549,80969,0
889,1175,61995,0
890,1748,65410,0
891,23985,78469,0
892,7619,110958,0
893,1715,104470,0
894,3112,63284,0
895,15936,77625,0
896,15017,73252,0
897,14178,80461,0
898,32831,75583,0
899,5476,116031,0
900,20869,84552,0
901,5740,71062,0
902,19476,71475,0
903,24547,100312,0
904,10333,69349,0
905,23564,90475,0
906,25545,67426,0
907,25820,110731,0
908,26972,86034,0
909,3079,82946,0
910,13723,69658,0
911,30190,83172,0
912,3002,99169,0
913,8134,72884,0
914,26543,92910,0
915,19539,94615,0
916,23991,97273,0
917,43414,110994,0
918,19465,103211,0
919,26226,74569,0
920,4101,66400,0
921,21857,73669,0
922,11525,58134,0
923,13869,74246,0
924,19971,95436,0
925,17240,94856,0
926,34813,92962,0
927,21478,76755,0
928,22205,85173,0
929,36775,78184,0
930,3083,56015,0
931,9861,71989,0
932,19024,68980,0
933,7244,64518,0
934,39699,83683,0
935,21277,91668,0
936,31320,88123,0
937,19617,93243,0
938,22389,72687,0
939,18388,70394,0
940,21312,67994,0
941,22776,80973,0
942,28234,68324,0
943,13641,84760,0
944,1729,66574,0
945,17872,83347,0
946,4511,75987,0
947,24870,89092,0
948,14168,82405,0
949,21042,101369,0
950,2225,58957,0
951,8646,69710,0
952,8885,74217,0
953,18706,69608,0
954,15733,54694,0
955,27700,78548,0
956,45085,76286,0
957,20651,92282,0
958,32150,77825,0
959,24464,88641,0
960,12023,79147,0
961,36358,98615,0
962,23423,90315,0
963,42765,104550,0
964,1509,96632,0
965,3633,73620,0
966,29722,93398,0
967,25415,100493,0
968,5352,70776,0
969,8127,72091,0
970,10733,74477,0
971,13595,91193,0
972,10409,111878,0
973,4118,61978,0
974,24053,83796,0
975,21420,78363,0
976,10902,68028,0
977,9877,98148,0
978,31564,94974,0
979,4463,71712,0
980,20767,79096,0
981,43903,59261,0
982,100884,94072,0
983,118438,80042,0
984,83668,110027,0
985,50763,298117,0
986,54581,277578,0
987,113698,86998,0
988,5446,96597,0
989,103743,128630,0
990,85800,299289,0
991,65098,67201,0
992,42405,41346,0
993,55403,40076,0
994,12677,229463,0
995,76011,88333,0
996,41812,108635,0
997,107106,101253,0
998,120018,84349,0
999,70159,117751,0
1000,28895,113002,0
1001,13114,63939,0
1002,48081,96397,0
1003,62758,86358,0
1004,30674,163363,0
1005,78349,59261,0
1006,96592,120854,0
1007,98470,306836,0
1008,142611,107374,0
1009,121552,86142,0
1010,145429,69866,0
1011,81311,80682,0
1012,76567,95140,0
1013,3178,42820,0
1014,77645,84937,0
1015,84574,94595,0
1016,119465,119188,0
1017,89202,87398,0
1018,19368,234054,0
1019,121409,308794,0
1020,103237,126635,0
1021,8545,125485,0
1022,29170,219661,0
1023,116476,115638,0
1024,62229,103210,0
1025,43342,194910,0
1026,167230,79446,0
1027,125146,41930,0
1028,84706,76705,0
1029,96642,77674,0
1030,14739,116440,0
1031,117109,176002,0
1032,33317,98253,0
1033,103402,87620,0
1034,119331,49828,0
1035,17203,173710,0
1036,32740,64791,0
1037,7232,181367,0
1038,92657,155701,0
1039,119916,94608,0
1040,111886,133112,0
1041,124288,354730,0
1042,86660,111385,0
1043,42010,96699,0
1044,103819,109448,0
1045,108862,80159,0
1046,82337,55962,0
1047,104003,102581,0
1048,186286,118306,0
1049,38921,58099,0
1050,44199,61545,0
1051,100662,76753,0
1052,31852,61334,0
1053,168380,303427,0
1054,125441,262052,0
1055,55023,39196,0
1056,113335,92046,0
1057,77804,66362,0
1058,10362,42590,0
1059,31403,58072,0
1060,52331,83205,0
1061,33903,87215,0
1062,52652,59649,0
1063,53763,92211,0
1064,83108,67190,0
1065,13353,106962,0
1066,104160,97456,0
1067,101384,348377,0
1068,111960,54086,0
