index,Blue_Variance,Green_Variance,Red_Variance,Output
77,2649.7339478900753,5553.235844938641,5187.070829397909,0
78,4079.225119534851,4898.162417444834,5111.1770541971555,0
79,2188.688320898549,2954.0516614399326,2345.3634807700687,0
80,4241.892409009843,4082.692405282751,3670.4021039025574,0
81,5334.94880284936,3878.6436882196913,3040.7773800082637,0
82,7309.6106802970435,4332.104904597242,3252.563598615364,0
83,5463.822134850108,4908.064448362727,3377.2696131632483,0
84,4941.983209690112,3649.4706671033728,3191.8260112746234,0
85,4254.568376738879,5132.854443829886,4296.475873233444,0
86,3999.2845357774477,3946.2292845667953,3776.8024461029845,0
87,6497.763557761655,4477.9102588063415,4593.156038838431,0
88,4977.724431316234,5428.225519589557,5155.713378403694,0
89,4674.046858868332,5309.504928186616,5266.350767595785,0
90,5919.057322356136,4222.552316762103,3381.362807795219,0
91,2516.592162186155,4145.910089796938,4065.8081008962527,0
92,5067.4688978169825,3716.2978957801897,2934.8988613547804,0
93,3450.882894045772,4774.493680843284,4990.188064502146,0
94,4987.135651901512,4030.623849085682,2656.953166848642,0
95,5642.641255739589,4601.418284624934,3609.2248496969505,0
96,3684.235774731206,4890.975418010142,4771.9845047478275,0
97,3636.7938503409932,4954.131900461085,4577.838896383852,0
98,3042.126069713389,3755.757206679555,3239.5537784606013,0
99,2959.5083803719635,2559.10136778948,2259.8789552664534,0
100,5891.975174276668,4584.227628429972,3693.5240336517963,0
101,7086.213493879929,4568.286917795125,4339.199794237847,0
102,4278.29687589669,4514.816267416159,3469.419098842291,0
103,5320.375646531613,3593.773460154169,2304.1482173301097,0
104,3195.6345339062755,4097.220794231616,2890.217610254531,0
105,5792.218738069048,4259.83499334967,3853.4540531571774,0
106,6657.245527414822,4205.534889486646,3516.9790215032535,0
107,6523.0532949150875,4861.564797477514,4548.843812655173,0
108,3793.9501751850376,4638.445635835152,4000.88037865402,0
109,3526.934916241127,4569.656384121035,4743.358099838691,0
110,5839.152474936371,4335.658170230485,3377.6711652971785,0
111,3963.939456846809,5308.158561438835,4809.725912024168,0
112,5492.236197101656,3772.3674997560606,2876.7095336886096,0
113,5392.152972225119,4820.15307590805,4423.259610844313,0
114,5045.8097649686,5052.377911842646,4402.345395109279,0
115,4947.075678723752,4690.28396068506,3996.192256351652,0
116,3692.5662795457924,4841.951520310089,4042.578064115548,0
117,2654.7980509270565,3214.911965765857,2754.13815434318,0
118,3202.197112255123,4073.7634487970795,3536.790934947792,0
119,2290.938472674334,3926.1994443874887,3799.359361612867,0
120,5248.651909649289,3630.2531349894425,2725.551960720463,0
121,3790.3920694042226,5208.2448919432845,4791.243830354112,0
122,4096.935636137166,4251.424214586096,4297.2865597402315,0
123,6240.907693758201,5498.103129063425,4878.680531567348,0
124,2408.5450633325568,3960.8741415853146,4153.898528759605,0
125,5056.1478234839515,4150.538306786993,3080.1348496211267,0
126,5374.497902751445,4336.933352457817,3287.0622124118513,0
127,6578.904637549386,5617.517128478273,4104.797399231147,0
128,5216.343562718719,5744.769765473453,5129.423077241402,0
129,4483.34399964551,4839.105278285143,4318.109514494682,0
130,5758.831114520277,4347.511134506613,3336.318105120247,0
131,5152.473130560509,4533.725676593546,3783.2513897997196,0
132,3857.8895777293683,5123.324528982161,4805.636090633751,0
133,4193.318735891021,4119.013749346525,3657.9956631930154,0
134,5246.32698802248,4471.781119763987,3667.677477937335,0
135,6272.877618726333,4900.2493095073005,4165.637053437358,0
136,3734.4015656603137,3980.872316481298,3236.318954198808,0
137,4914.733389193944,4958.549226653219,4366.582328433906,0
138,6183.12621211922,4714.369477049268,4075.1538564237862,0
139,5941.825227588084,4020.9595133863345,3056.7274805152115,0
140,6292.169914426869,4605.537511453505,3154.0927806108057,0
141,4532.908482325253,5296.850935973279,4306.061289941025,0
142,3687.3171520855612,4353.640237899592,4049.549671413867,0
143,5441.952276535769,4960.867816371211,3708.9325270848503,0
144,5200.098616836557,5006.509876735753,4599.563389176682,0
145,4542.356886553929,4950.365210705505,3755.9010955856534,0
146,4080.5703844607315,3474.1341347581397,3372.9571013343716,0
147,3143.0754502935633,4594.168570646413,4450.194737985305,0
148,5022.95187593087,4330.125351850418,3515.317690881219,0
149,5837.249104832569,4832.146427668347,5176.94681343066,0
150,4639.9467627547565,5663.74952362156,5339.305193698198,0
151,6005.0915124963585,4280.45640860731,3323.773806420261,0
152,6092.271719676357,5586.098297620349,5417.669583008482,0
153,3021.825795836196,4121.822372836723,3411.8980305955865,0
154,4014.3376116414975,3917.5306408311612,3027.0570477864244,0
155,4391.514217972665,4376.8854926645,3758.785537658044,0
156,4521.104811538675,3832.5096616870337,4113.696014125441,0
157,3956.6709246285627,3817.7431994231683,2899.1680275559393,0
158,6606.667224069461,4813.674148277691,4530.875331645134,0
159,2612.290728537612,4514.509743164416,5159.662778688119,0
160,3934.7075725014993,4709.791442466403,4485.759971503525,0
161,5104.394509836618,3834.1170870763704,2806.2932542571302,0
