,Blue_Variance,Green_Variance,Red_Variance,Output,Var_,Amount,Pixel,Angle
61,2889.0492924302,3503.494668663082,3547.1109269149847,0,0.014464557221608436,0.001,3.0,64.58306402562263
62,6065.29061683588,5409.342415349699,4805.087733412633,0,0.006901254786181468,0.001,3.0,167.8594594773451
63,5193.832004382524,4618.147867573501,4013.8705175829386,0,0.08110509374639935,0.001,3.0,35.51733292633165
64,3958.923941774668,4307.915757625036,3828.6058955376952,0,0.07983905640211604,0.001,3.0,120.15460055745221
65,5009.89987951187,3643.6624198990085,2797.760607443805,0,0.044947866628575056,0.001,3.0,162.76616654322734
66,3996.178208799561,3514.2483144082244,3116.9796879807136,0,0.004506866349534296,0.001,3.0,174.88655890455496
67,3659.8044322935007,4049.6920062468835,3513.68916074781,0,0.04255117848813446,0.001,3.0,166.2369582734813
68,4355.958850213383,5201.226807662041,5472.072988105004,0,0.014218576911738438,0.001,3.0,153.52528821827636
69,841.4108286374824,1121.1566715344027,1054.2228950573688,0,0.007517460090318645,0.001,3.0,132.98037910160048
70,6161.355350028616,4268.140137488925,3736.5702062699893,0,0.00836707828804422,0.001,3.0,148.99015661523256
71,2982.582524575598,4746.5401011287695,4577.616114677565,0,0.03805689009787252,0.001,3.0,131.91778494990427
72,4939.079190582423,3431.8004518903986,2672.6910792785875,0,0.09932753196772122,0.001,3.0,20.80286617051458
73,3316.291743534676,4055.054717953105,3617.3531723359442,0,0.045443359018472886,0.001,3.0,78.87338014246907
74,5263.955349241447,5204.313189348041,4800.138028914788,0,0.06454122002093415,0.001,3.0,19.034886710718926
75,3281.22701370523,5051.040266603256,4858.9400533789185,0,0.09299302772985966,0.001,3.0,56.416064181788514
76,4679.273672583256,4451.978564179619,4091.4346693124767,0,0.040461209888232735,0.001,3.0,156.06401625892448
77,4296.229018607434,3404.690414379586,2887.5597502139663,0,0.020303063904553283,0.001,3.0,139.76070345541723
78,7642.898413670609,5507.529341343498,4848.605807390438,0,0.004902866844098887,0.001,3.0,35.115747432018686
79,5038.040611662478,4036.8374576269816,3225.2833840929306,0,0.05260920791248973,0.001,3.0,0.8210594839530261
80,5108.508815529434,5371.889097834876,4206.870973202891,0,0.06797699167993346,0.001,3.0,120.3424728828401
81,4531.368108342082,4163.234526235367,3997.101850739939,0,0.04071360171406218,0.001,3.0,95.48001732409621
82,4512.643888610035,4910.214971537993,4221.354014594704,0,0.07771782777025661,0.001,3.0,30.270760400654467
83,4239.604635895571,3807.202031889509,3158.850609957848,0,0.07255836618446108,0.001,3.0,30.025196140202837
84,3863.6592928159857,4727.6607892611255,4177.32419719364,0,0.08999298861817,0.001,3.0,127.24602305363506
85,5294.351265964377,3412.434438364087,2784.1068354905974,0,0.013978487737558557,0.001,3.0,29.26135412119114
86,3728.7183766401,3777.5255008825716,3346.9446145576794,0,0.004694757204698925,0.001,3.0,165.56961732329532
87,4845.370764535033,6301.203757362587,5939.800445253349,0,0.06277186696744978,0.001,3.0,99.0826824499297
88,4214.757959121677,4022.0646099007677,3199.036834717907,0,0.01983849626296554,0.001,3.0,133.20731754350706
89,4578.814132156681,4341.040266471248,3447.4156593001576,0,0.0759670499526166,0.001,3.0,1.2809926302662156
90,3443.4825360498075,5077.214863945039,4953.769115849782,0,0.002215831062513507,0.001,3.0,112.88488129066911
91,4526.475391281766,4287.83476594845,3519.3590344534973,0,0.011385084816025157,0.001,3.0,88.57556988734261
92,3418.9611767864103,4685.503460620217,4012.2216790564044,0,0.05175438401149429,0.001,3.0,179.05411736096747
93,4428.220759823641,4370.990296994968,3648.371497800217,0,0.081312226124566,0.001,3.0,86.29848391646657
94,4867.936854090063,4094.958076114659,3375.1859765111435,0,0.05313610070234243,0.001,3.0,161.5784812798335
95,5222.84113989512,3705.478997866917,3221.630363752415,0,0.045402409565054064,0.001,3.0,97.22017224907802
96,4907.685891125469,5460.454459090997,5367.765126402754,0,0.09873622920373987,0.001,3.0,27.294154993608778
97,6172.623012459761,5299.699684063738,4895.703844761893,0,0.03307388746098315,0.001,3.0,115.90664674960986
98,4060.2353591349083,5382.585690468085,5665.77937440341,0,0.03573237434083209,0.001,3.0,20.102665548779225
99,5610.56350379938,5414.010473083486,4846.459033297989,0,0.08080967326656287,0.001,3.0,48.670354808546726
100,5563.743128133523,4770.715817781781,4214.309280363826,0,0.0028302628433474306,0.001,3.0,170.0156065806808
101,5244.61263284937,3610.0216288484994,3295.7400563515844,0,0.08773040818851356,0.001,3.0,40.72501265980741
102,4016.272661927305,4257.484389531775,3550.019004461971,0,0.03007663591498401,0.001,3.0,133.69372295158743
103,4991.148856155123,4204.681136713775,3522.5691699218223,0,0.04213947305711544,0.001,3.0,28.176700911275915
